id,typ,ueberschrift,kalk_position,ANS_PLJ,ANS_VJ,PLAN_FJ1,RE_VVJ
139,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010101/Politische Gremien","Ergebnis (= Zeilen 27, 28)",0.0,0.0,0.0,0.0
140,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010101/Politische Gremien","Aufwendungen aus internen Leistungsbeziehungen (58er)",0.0,0.0,0.0,0.0
141,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010101/Politische Gremien","Aufwendungen aus internen Leistungsbeziehungen (9er)",0.0,0.0,0.0,0.0
142,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010101/Politische Gremien","Ergebnis (= Zeilen 30, 31)",0.0,0.0,0.0,0.0
143,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010101/Politische Gremien","Ergebnis (= Zeilen 26, 29, 32)",-972940.74,-1045968.85,-976110.67,-1125578.97
144,FINHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010101/Politische Gremien","Einzahlungen aus Zuwendungen f�r Investitionsma�nahmen",0.0,0.0,0.0,0.0
145,FINHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010101/Politische Gremien","Einzahlungen aus der Ver�u�erung von Sachanlagen",0.0,0.0,0.0,0.0
146,FINHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010101/Politische Gremien","Einzahlungen aus der Ver�u�erung von Finanzanlagen",0.0,0.0,0.0,0.0
147,FINHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010101/Politische Gremien","Einzahlungen aus Beitr�gen und �hnlichen Entgelten",0.0,0.0,0.0,0.0
148,FINHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010101/Politische Gremien","Sonstige Investitionseinzahlungen",0.0,0.0,0.0,0.0
149,FINHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010101/Politische Gremien","Summe (investive Einzahlungen)",0.0,0.0,0.0,0.0
150,FINHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010101/Politische Gremien","Auszahlungen f�r den Erwerb von Grundst�cken und Geb�uden",0.0,0.0,0.0,0.0
151,FINHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010101/Politische Gremien","Auszahlungen f�r Bauma�nahmen",0.0,0.0,0.0,0.0
152,FINHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010101/Politische Gremien","Auszahlungen f�r den Erwerb von beweglichen Anlageverm�gen",-2700.0,-3200.0,-4700.0,-1396.55
153,FINHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010101/Politische Gremien","Auszahlungen f�r den Erwerb von Finanzanlagen",0.0,0.0,0.0,0.0
154,FINHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010101/Politische Gremien","Auszahlungen von aktivierbaren Zuwendungen",0.0,0.0,0.0,0.0
155,FINHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010101/Politische Gremien","Sonstige Investitionsauszahlungen",0.0,0.0,0.0,0.0
156,FINHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010101/Politische Gremien","Summe (investive Auszahlungen)",-2700.0,-3200.0,-4700.0,-1396.55
157,FINHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010101/Politische Gremien","Saldo der Investitionst�tigkeit (Einzahlungen ./. Auszahlungen)",-2700.0,-3200.0,-4700.0,-1396.55
158,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010102/Verwaltungsf�hrung","Steuern und �hnliche Abgaben",0.0,0.0,0.0,0.0
159,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010102/Verwaltungsf�hrung","Zuwendungen und allgemeine Umlagen",1998.0,0.0,1998.0,0.0
160,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010102/Verwaltungsf�hrung","Sonstige Transferertr�ge",0.0,0.0,0.0,0.0
161,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010102/Verwaltungsf�hrung","�ffentlich-rechtliche Leistungsentgelte",0.0,0.0,0.0,0.0
162,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010102/Verwaltungsf�hrung","Privatrechtliche Leistungsentgelte",60.0,58.0,62.0,1631.44
163,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010102/Verwaltungsf�hrung","Kostenerstattungen und Kostenumlagen",48470.0,48470.0,48470.0,0.0
164,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010102/Verwaltungsf�hrung","Sonstige ordentliche Ertr�ge",0.0,0.0,0.0,0.0
165,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010102/Verwaltungsf�hrung","Aktivierte Eigenleistungen",0.0,0.0,0.0,0.0
166,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010102/Verwaltungsf�hrung","Bestandsver�nderungen",0.0,0.0,0.0,0.0
167,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010102/Verwaltungsf�hrung","Ordentliche Ertr�ge",50528.0,48528.0,50530.0,1631.44
168,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010102/Verwaltungsf�hrung","Personalaufwendungen",-1167761.4,-1311482.61,-1192257.54,-1384088.99
169,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010102/Verwaltungsf�hrung","Versorgungsaufwendungen",-150511.94,-139186.7,-152769.64,-385702.51
170,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010102/Verwaltungsf�hrung","Aufwendungen f�r Sach- und Dienstleistungen",-17801.84,-17461.0,-17811.0,-9271.87
171,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010102/Verwaltungsf�hrung","Bilanzielle Abschreibungen",-23179.58,-3482.83,-23038.93,-3633.5
172,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010102/Verwaltungsf�hrung","Transferaufwendungen",0.0,0.0,0.0,0.0
173,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010102/Verwaltungsf�hrung","Sonstige ordentliche Aufwendungen",-24531.0,-27099.25,-24564.0,-14132.42
174,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010102/Verwaltungsf�hrung","Ordentliche Aufwendungen",-1383785.76,-1498712.39,-1410441.11,-1796829.29
175,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010102/Verwaltungsf�hrung","Ordentliches Ergebnis (= Zeilen 10 und 17)",-1333257.76,-1450184.39,-1359911.11,-1795197.85
176,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010102/Verwaltungsf�hrung","Finanzertr�ge",0.0,0.0,0.0,0.0
177,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010102/Verwaltungsf�hrung","Zinsen und sonstige Finanzaufwendungen",0.0,0.0,0.0,0.0
178,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010102/Verwaltungsf�hrung","Finanzergebnis (= Zeilen 19 und 20)",0.0,0.0,0.0,0.0
179,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010102/Verwaltungsf�hrung","Ergebnis der laufenden Verwaltungst�tigkeit (= Zeilen 18 und 21)",-1333257.76,-1450184.39,-1359911.11,-1795197.85
180,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010102/Verwaltungsf�hrung","Au�erordentliche Ertr�ge",0.0,0.0,0.0,0.0
181,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010102/Verwaltungsf�hrung","Au�erordentliche Aufwendungen",0.0,0.0,0.0,0.0
182,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010102/Verwaltungsf�hrung","Au�erordentliches Ergebnis (= Zeilen 23 und 24)",0.0,0.0,0.0,0.0
183,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010102/Verwaltungsf�hrung","Ergebnis - vor Ber�cksichtigung der internen Leistungsbeziehungen - (= Zeilen 22 und 25)",-1333257.76,-1450184.39,-1359911.11,-1795197.85
184,ERGHHT,"01/Innere Verwaltung/0101/Verwaltungssteuerung und Service/010102/Verwaltungsf�hrung","Ertr�ge aus internen Leistungsbeziehungen (48er)",44900.0,49694.0,44900.0,49694.0
